"filename", "language", "JavaScript", "JavaScript JSX", "PostCSS", "XML", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\Euris Carlos\Desktop\panel-supabase\README.md", "Markdown", 0, 0, 0, 0, 0, 38, 0, 0, 33, 71
"c:\Users\Euris Carlos\Desktop\panel-supabase\package-lock.json", "JSON", 0, 0, 0, 0, 17603, 0, 0, 0, 1, 17604
"c:\Users\Euris Carlos\Desktop\panel-supabase\package.json", "JSON", 0, 0, 0, 0, 42, 0, 0, 0, 1, 43
"c:\Users\Euris Carlos\Desktop\panel-supabase\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Euris Carlos\Desktop\panel-supabase\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 21, 0, 3, 24
"c:\Users\Euris Carlos\Desktop\panel-supabase\public\manifest.json", "JSON", 0, 0, 0, 0, 25, 0, 0, 0, 1, 26
"c:\Users\Euris Carlos\Desktop\panel-supabase\src\App.css", "PostCSS", 0, 0, 33, 0, 0, 0, 0, 0, 10, 43
"c:\Users\Euris Carlos\Desktop\panel-supabase\src\App.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 105, 9, 142
"c:\Users\Euris Carlos\Desktop\panel-supabase\src\App.test.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Euris Carlos\Desktop\panel-supabase\src\TestConnection.jsx", "JavaScript JSX", 0, 15, 0, 0, 0, 0, 0, 0, 5, 20
"c:\Users\Euris Carlos\Desktop\panel-supabase\src\componentes\Layout.jsx", "JavaScript JSX", 0, 11, 0, 0, 0, 0, 0, 49, 5, 65
"c:\Users\Euris Carlos\Desktop\panel-supabase\src\componentes\barraLateral.jsx", "JavaScript JSX", 0, 53, 0, 0, 0, 0, 0, 349, 19, 421
"c:\Users\Euris Carlos\Desktop\panel-supabase\src\index.css", "PostCSS", 0, 0, 6, 0, 0, 0, 0, 3, 2, 11
"c:\Users\Euris Carlos\Desktop\panel-supabase\src\index.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 3, 3, 18
"c:\Users\Euris Carlos\Desktop\panel-supabase\src\logo.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Euris Carlos\Desktop\panel-supabase\src\paginas\Dashboard.jsx", "JavaScript JSX", 0, 133, 0, 0, 0, 0, 0, 250, 18, 401
"c:\Users\Euris Carlos\Desktop\panel-supabase\src\paginas\Mantenimiento.jsx", "JavaScript JSX", 0, 131, 0, 0, 0, 0, 0, 48, 14, 193
"c:\Users\Euris Carlos\Desktop\panel-supabase\src\paginas\Ocupacion.jsx", "JavaScript JSX", 0, 94, 0, 0, 0, 0, 0, 64, 13, 171
"c:\Users\Euris Carlos\Desktop\panel-supabase\src\paginas\Reportes.jsx", "JavaScript JSX", 0, 98, 0, 0, 0, 0, 0, 49, 13, 160
"c:\Users\Euris Carlos\Desktop\panel-supabase\src\paginas\Reservaciones.jsx", "JavaScript JSX", 0, 129, 0, 0, 0, 0, 0, 68, 16, 213
"c:\Users\Euris Carlos\Desktop\panel-supabase\src\paginas\Sensores.jsx", "JavaScript JSX", 0, 99, 0, 0, 0, 0, 0, 47, 11, 157
"c:\Users\Euris Carlos\Desktop\panel-supabase\src\paginas\Usuarios.jsx", "JavaScript JSX", 0, 250, 0, 0, 0, 0, 0, 789, 51, 1090
"c:\Users\Euris Carlos\Desktop\panel-supabase\src\paginas\VehiculosTickets.jsx", "JavaScript JSX", 0, 176, 0, 0, 0, 0, 0, 17, 21, 214
"c:\Users\Euris Carlos\Desktop\panel-supabase\src\paginas\ZonasParqueos.jsx", "JavaScript JSX", 0, 242, 0, 0, 0, 0, 0, 19, 40, 301
"c:\Users\Euris Carlos\Desktop\panel-supabase\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Euris Carlos\Desktop\panel-supabase\src\setupTests.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 4, 1, 6
"c:\Users\Euris Carlos\Desktop\panel-supabase\src\supabaseClient.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 3, 7
"c:\Users\Euris Carlos\Desktop\panel-supabase\tailwind.config.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 3, 1, 26
"Total", "-", 92, 1431, 39, 1, 17670, 38, 21, 1867, 299, 21458
